epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.732,1.35756,2.40411,1.72481,0.42586,0.48771,0.41563,0.24603,1.45839,1.92195,1.87804,0.000302693,0.000302693,0.000302693
2,595.21,1.32164,1.86892,1.65823,0.45761,0.55791,0.46091,0.27759,1.55764,1.69909,1.94396,0.000585705,0.000585705,0.000585705
3,886.21,1.30974,1.73621,1.64272,0.51134,0.55977,0.51983,0.31144,1.45464,1.53694,1.86732,0.000848719,0.000848719,0.000848719
4,1177.27,1.28261,1.655,1.62022,0.67202,0.54972,0.52759,0.30834,1.48516,1.46019,1.87076,0.000819009,0.000819009,0.000819009
5,1467.08,1.24928,1.57468,1.59158,0.4815,0.65087,0.54323,0.3377,1.36278,1.34968,1.73322,0.000789012,0.000789012,0.000789012
6,1757.03,1.21684,1.52166,1.56696,0.72252,0.5867,0.58015,0.376,1.27175,1.24012,1.67409,0.000759015,0.000759015,0.000759015
7,2042.28,1.20592,1.47946,1.55868,0.70453,0.60118,0.58433,0.37949,1.26651,1.23667,1.6542,0.000729018,0.000729018,0.000729018
8,2330.52,1.18559,1.44922,1.54643,0.72871,0.59902,0.59122,0.38906,1.22929,1.20285,1.61893,0.000699021,0.000699021,0.000699021
9,2617.31,1.1719,1.42141,1.53836,0.71824,0.60811,0.59583,0.40232,1.20184,1.17435,1.57876,0.000669024,0.000669024,0.000669024
10,2903.76,1.15724,1.3827,1.52397,0.73197,0.6023,0.59516,0.40341,1.1901,1.14308,1.57436,0.000639027,0.000639027,0.000639027
11,3187.59,1.14647,1.35745,1.51597,0.58479,0.62753,0.61111,0.41251,1.22182,1.12269,1.58903,0.00060903,0.00060903,0.00060903
12,3472.97,1.13044,1.33336,1.50076,0.74411,0.62388,0.61422,0.41825,1.18113,1.10235,1.56819,0.000579033,0.000579033,0.000579033
13,3756.59,1.11686,1.31323,1.49346,0.74466,0.62567,0.61671,0.4214,1.16779,1.08823,1.55881,0.000549036,0.000549036,0.000549036
14,4044.76,1.11641,1.31111,1.4923,0.76351,0.62149,0.62445,0.42716,1.15597,1.05827,1.53668,0.000519039,0.000519039,0.000519039
15,4334.31,1.10366,1.28036,1.48218,0.76088,0.61905,0.61646,0.41744,1.16114,1.05482,1.54284,0.000489042,0.000489042,0.000489042
16,4622.4,1.09372,1.26851,1.47635,0.75434,0.63257,0.62127,0.43107,1.14895,1.04312,1.53014,0.000459045,0.000459045,0.000459045
17,4905.72,1.0875,1.24953,1.4738,0.77183,0.62683,0.62523,0.43264,1.13821,1.02542,1.52061,0.000429048,0.000429048,0.000429048
18,5193.05,1.07258,1.23699,1.46398,0.76931,0.62898,0.63211,0.44017,1.125,1.02701,1.51037,0.000399051,0.000399051,0.000399051
19,5479.05,1.06716,1.22004,1.46321,0.78023,0.63223,0.63355,0.44243,1.11497,1.00633,1.50249,0.000369054,0.000369054,0.000369054
20,5764.8,1.05853,1.20688,1.45524,0.76547,0.64774,0.63653,0.4461,1.10757,1.00389,1.49581,0.000339057,0.000339057,0.000339057
21,6039.44,1.12096,1.08065,1.59562,0.78229,0.63012,0.64192,0.45249,1.0993,0.98093,1.48402,0.00030906,0.00030906,0.00030906
22,6314.81,1.09869,1.05087,1.58044,0.79247,0.63151,0.64503,0.45275,1.08805,0.97058,1.47517,0.000279063,0.000279063,0.000279063
23,6590.66,1.0796,1.02603,1.56369,0.72939,0.64827,0.64038,0.45552,1.0758,0.9669,1.4595,0.000249066,0.000249066,0.000249066
24,6867.53,1.06506,1.00458,1.54925,0.62434,0.66911,0.64778,0.4599,1.07939,0.95788,1.46187,0.000219069,0.000219069,0.000219069
25,7143.5,1.05645,0.98701,1.54476,0.79471,0.63761,0.64582,0.46095,1.07103,0.94958,1.45266,0.000189072,0.000189072,0.000189072
26,7416.33,1.03911,0.97569,1.52924,0.64631,0.64601,0.64514,0.46126,1.06423,0.94528,1.44829,0.000159075,0.000159075,0.000159075
27,7689.08,1.02784,0.95931,1.51911,0.64574,0.64855,0.6466,0.45979,1.06635,0.94227,1.44498,0.000129078,0.000129078,0.000129078
28,7960.91,1.02118,0.94788,1.51203,0.65036,0.64588,0.64614,0.46238,1.05645,0.94417,1.44171,9.9081e-05,9.9081e-05,9.9081e-05
29,8233.45,1.0084,0.93397,1.50141,0.59973,0.70338,0.64896,0.46351,1.05541,0.93428,1.43904,6.9084e-05,6.9084e-05,6.9084e-05
30,8503.7,1.00045,0.9255,1.49717,0.68003,0.65109,0.6493,0.46259,1.05667,0.93048,1.43955,3.9087e-05,3.9087e-05,3.9087e-05
